,Social Negative Count,WN-SNS,Municipality,County,MRI Score,Latitude,Longitude,Crime_Index
334,2,-10.58823529,west amwell township,Hunterdon,3.97,40.3989633,-74.9075666,130.5767138
335,3,-14.89361702,west deptford township,Gloucester,-0.64,39.832362,-75.1888708,295.8494902
336,38,4.516129032,west milford township,Passaic,2.06,41.1293883,-74.369218,127.2590361
337,22,-11.53846154,west windsor township,Mercer,5.21,40.3224396,-74.6002729,218.9058245
342,11,-15,wildwood city,Cape May,-15.57,38.9865966,-74.82205711,1406.156902
343,59,-8.653846154,wildwood crest borough,Cape May,-5.59,38.9626747,-74.850841,436.4569961
344,0,-20,willingboro township,Burlington,-3.53,40.0289423,-74.8808221,367.3266094
345,11,0.952380952,winfield township,Union,-4.76,40.63507735,-74.287191,118.8903567
346,0,0,winslow township,Camden,-4.66,39.6573385,-74.8623868,301.7039237
347,16,-10.79136691,woodbridge township,Middlesex,0.09,40.5576045,-74.2845911,331.0733119
348,6,-14.54545455,woodbury city,Gloucester,-6.38,39.8452327,-75.1472368,976.8109994
349,6,-13.23943662,woodland township,Burlington,-3.83,39.842075,-74.52305759,248.4569107
350,1,-15.55555556,woodstown borough,Salem,-1.92,39.6512867,-75.3291382,278.5030461
351,11,-8.860759494,woolwich township,Gloucester,2.89,39.7414825,-75.3480555,79.13896803
352,6,-6.666666667,wyckoff township,Bergen,5.08,40.2034457,-74.2557009,105.4717091
